Company,Year,Annual_accounts,Country_by_Country_Reports,Industry,Headquarter_country,Folder,Notes,New?
BT Group,2020,https://www.bt.com/about/investors/financial-reporting-and-news/annual-reports/archived-reports,https://www.bt.com/about/digital-impact-and-sustainability/our-approach/our-policies-and-report/tax-strategy,Telecommunications,GBR,Bad,CbCR is from 2020,
BuzziUnicem,2019,https://www.dyckerhoff.com/documents/209745/673719/Sustainability+Report+2020.pdf/537e9ea8-df7d-7ea9-d2b8-c55822692b44,,,,,,April
Bonava,2021,https://vp224.alertir.com/afw/files/press/bonava/202203108175-1.pdf,,,,,,
Canacol,2020,https://canacolenergy.com/sustainability/sustainability-reports/,,Energy,CAN,Bad,Good but unfortunately below 750m,NEW February
Cellnex,2020,https://informeanual2020.cellnextelecom.com/2020/en/download-centre,,Telecommunications,ESP,Good,,
Cembre,2020,https://www.cembre.fr/investor/rep_and_acc,,Industry,FRA,Bad,Good but unfortunately below 750m,NEW February
Cermaq,2018,,,Agriculture,NOR,Bad,Non CBCR format,
Cermaq,2019,,,Agriculture,NOR,Bad,Non CBCR format,
Cermaq,2020,,,Agriculture,NOR,Bad,Non CBCR format,
Cipla,2021,https://www.cipla.com/investors/annual-reports,,Pharmaceuticals,IND,Good,,
Coloplast,2021,https://investor.coloplast.com/investor-relations/reports-presentations2/introduction-to-country-by-country-tax-reporting/,https://investor.coloplast.com/investor-relations/reports-presentations2/introduction-to-country-by-country-tax-reporting/,Health care,DNK,Good,,
CSL,2021,https://investors.csl.com/annualreport/2021/,,Biotechnology,AUS,Bad,Only four jurisdictions,
DNO,2016,https://www.dno.no/en/investors/reports-and-presentations/,https://www.dno.no/en/investors/reports-and-presentations/,Oil and gas,NOR,Good,Some variables missing,
DNO,2017,https://www.dno.no/en/investors/reports-and-presentations/,https://www.dno.no/en/investors/reports-and-presentations/,Oil and gas,NOR,Good,Some variables missing,
DNO,2018,https://www.dno.no/en/investors/reports-and-presentations/,https://www.dno.no/en/investors/reports-and-presentations/,Oil and gas,NOR,Good,Some variables missing,
DNO,2019,https://www.dno.no/en/investors/reports-and-presentations/,https://www.dno.no/en/investors/reports-and-presentations/,Oil and gas,NOR,Good,Some variables missing,
DNO,2020,https://www.dno.no/en/investors/reports-and-presentations/,https://www.dno.no/en/investors/reports-and-presentations/,Oil and gas,NOR,Good,Some variables missing,
DSM,2021,https://www.dsm.com/content/dam/dsm/corporate/en_US/documents/position-paper-taxation-at-dsm.pdf,,,,,,April
